date,n_incidents,length_in_meters,delay_in_seconds,latitude,longitude
2019-01-19 21,4.0,190.5,40.75,41.5466365814209,-8.400527000427246
2019-01-19 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 02,4.0,241.75,47.5,41.53622913360596,-8.412776708602905
2019-01-20 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 08,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 09,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 12,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 13,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 14,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 15,6.0,342.0,98.16666666666667,41.53769048055013,-8.422645727793375
2019-01-20 16,8.0,244.125,129.75,41.549793243408196,-8.415499806404114
2019-01-20 17,4.0,132.0,80.25,41.54584217071532,-8.407020330429077
2019-01-20 18,7.0,288.0,149.71428571428572,41.546101706368574,-8.407590593610491
2019-01-20 19,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-20 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 08,18.0,532.1666666666666,203.77777777777777,41.5423329671224,-8.423381593492296
2019-01-21 09,27.0,591.925925925926,302.8888888888889,41.547531834355105,-8.41983989433006
2019-01-21 10,6.0,456.0,151.66666666666666,41.540568033854164,-8.404367923736572
2019-01-21 11,6.0,457.3333333333333,140.33333333333334,41.540884017944336,-8.403935750325521
2019-01-21 12,6.0,291.6666666666667,95.66666666666667,41.541059494018555,-8.403777122497559
2019-01-21 13,8.0,356.75,165.5,41.545308113098145,-8.406049966812134
2019-01-21 14,12.0,508.6666666666667,216.58333333333334,41.54138437906901,-8.414214928944906
2019-01-21 15,11.0,581.4545454545455,294.72727272727275,41.54122612693093,-8.41617809642445
2019-01-21 16,10.0,383.1,209.6,41.54361877441407,-8.412763214111328
2019-01-21 17,32.0,437.5625,228.65625,41.54548788070679,-8.422468215227127
2019-01-21 18,66.0,535.5757575757576,217.1060606060606,41.543677821303866,-8.429579590306137
2019-01-21 19,24.0,375.5,173.79166666666666,41.54777638117472,-8.422463973363241
2019-01-21 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 21,4.0,117.25,37.25,41.54379653930664,-8.405996084213257
2019-01-21 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-21 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 08,18.0,437.22222222222223,151.27777777777777,41.54847017923991,-8.421981281704372
2019-01-22 09,10.0,289.0,136.2,41.54566307067872,-8.421698570251465
2019-01-22 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 11,7.0,155.14285714285714,100.28571428571429,41.54816927228656,-8.415551049368721
2019-01-22 12,4.0,165.25,68.5,41.540350914001465,-8.411701202392578
2019-01-22 13,6.0,246.5,78.16666666666667,41.54855728149414,-8.417278130849203
2019-01-22 14,8.0,245.0,91.625,41.54865312576294,-8.414867639541626
2019-01-22 15,6.0,220.66666666666666,104.66666666666667,41.539747873942055,-8.401819547017416
2019-01-22 16,6.0,180.33333333333334,86.33333333333333,41.54686355590821,-8.41414737701416
2019-01-22 17,35.0,610.3428571428572,243.65714285714284,41.552335902622765,-8.422781944274902
2019-01-22 18,108.0,649.6018518518518,295.74074074074076,41.54611788855659,-8.426944803308558
2019-01-22 19,115.0,644.6695652173913,357.5304347826087,41.54686362225076,-8.42743556810462
2019-01-22 20,26.0,435.46153846153845,262.2307692307692,41.550342266376205,-8.428057267115665
2019-01-22 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-22 22,12.0,416.5833333333333,228.33333333333334,41.557022412618004,-8.426158348719278
2019-01-22 23,28.0,750.0357142857143,272.32142857142856,41.55353137425014,-8.428991147450038
2019-01-23 00,9.0,637.7777777777778,166.33333333333334,41.54129282633463,-8.42657725016276
2019-01-23 01,6.0,305.1666666666667,171.0,41.537745793660484,-8.42452081044515
2019-01-23 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 07,1.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 08,28.0,514.0,162.64285714285714,41.54651396615164,-8.4255622114454
2019-01-23 09,16.0,422.375,173.3125,41.54955220222473,-8.420200884342194
2019-01-23 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 12,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 13,4.0,161.25,46.75,41.5413179397583,-8.402304649353027
2019-01-23 14,7.0,193.14285714285714,111.42857142857143,41.54767990112305,-8.41164915902274
2019-01-23 15,8.0,252.375,126.5,41.54926776885986,-8.412046432495117
2019-01-23 16,5.0,275.4,58.8,41.54679183959961,-8.408994674682617
2019-01-23 17,23.0,375.4782608695652,213.3913043478261,41.548123235287875,-8.42095474574877
2019-01-23 18,74.0,466.81081081081084,248.72972972972974,41.54891864673512,-8.430550201519116
2019-01-23 19,41.0,333.5121951219512,236.70731707317074,41.54881919302591,-8.428854384073396
2019-01-23 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-23 22,6.0,321.3333333333333,108.33333333333333,41.54944356282552,-8.4192001024882
2019-01-23 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 08,21.0,451.57142857142856,177.71428571428572,41.547591436476935,-8.425847780136834
2019-01-24 09,25.0,348.48,198.64,41.550322723388675,-8.418999252319336
2019-01-24 10,4.0,142.0,50.0,41.54411602020264,-8.407097578048706
2019-01-24 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 12,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 13,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 14,5.0,284.8,67.0,41.53275833129883,-8.421054267883301
2019-01-24 15,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 16,6.0,210.83333333333334,79.0,41.54510243733724,-8.414734681447348
2019-01-24 17,19.0,439.10526315789474,185.10526315789474,41.54388447811729,-8.427552574559263
2019-01-24 18,48.0,546.875,223.97916666666666,41.54173493385315,-8.429454942544302
2019-01-24 19,31.0,526.3870967741935,212.03225806451613,41.54282895980343,-8.423477603543189
2019-01-24 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-24 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 08,15.0,459.3333333333333,135.86666666666667,41.5563242594401,-8.41949888865153
2019-01-25 09,14.0,293.14285714285717,201.28571428571428,41.54606246948242,-8.420772280011859
2019-01-25 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 11,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 12,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 13,5.0,181.0,39.2,41.54905471801758,-8.407335090637208
2019-01-25 14,7.0,224.0,93.85714285714286,41.546104431152344,-8.416092600141253
2019-01-25 15,6.0,281.0,88.83333333333333,41.53601455688477,-8.42169443766276
2019-01-25 16,5.0,236.8,55.8,41.54248657226563,-8.414300537109375
2019-01-25 17,30.0,484.8666666666667,218.0,41.54433682759603,-8.427605470021566
2019-01-25 18,65.0,522.6461538461539,209.3846153846154,41.54536402775691,-8.431987967857948
2019-01-25 19,37.0,394.8378378378378,150.32432432432432,41.547410707216,-8.429154009432406
2019-01-25 20,7.0,197.0,78.71428571428571,41.55172947474888,-8.418285369873047
2019-01-25 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-25 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 05,4.0,341.75,15.5,41.53329277038574,-8.41867184638977
2019-01-26 06,4.0,299.75,7.75,41.53327941894531,-8.418174982070923
2019-01-26 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 08,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 09,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 10,9.0,284.6666666666667,116.11111111111111,41.55172687106662,-8.426373375786675
2019-01-26 11,17.0,304.3529411764706,179.1764705882353,41.55305503396428,-8.425098306992474
2019-01-26 12,8.0,251.125,124.5,41.54894495010376,-8.413588762283325
2019-01-26 13,5.0,167.0,88.0,41.54372787475586,-8.408001899719238
2019-01-26 14,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 15,4.0,117.25,35.75,41.54583740234375,-8.40708875656128
2019-01-26 16,4.0,146.5,41.5,41.54479789733887,-8.409032344818115
2019-01-26 17,17.0,704.1764705882352,156.64705882352942,41.55050210391774,-8.41929963055779
2019-01-26 18,53.0,712.7547169811321,286.0566037735849,41.55063989027491,-8.426856166911575
2019-01-26 19,34.0,541.3235294117648,282.8235294117647,41.55304325328154,-8.42904099296121
2019-01-26 20,4.0,205.25,32.5,41.54779243469238,-8.410941362380981
2019-01-26 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-26 22,21.0,583.4285714285714,294.14285714285717,41.56542242140997,-8.425032479422432
2019-01-26 23,49.0,780.6734693877551,409.9387755102041,41.55524530216139,-8.432351053977499
2019-01-27 00,11.0,431.09090909090907,158.63636363636363,41.546457117254086,-8.426784948869185
2019-01-27 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 08,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 09,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-27 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
